brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
Chevrolet,Silverado 1500,2009,"$9,600.00 ",Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"190,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Toronto, ON M2J4A8"
Chevrolet,Malibu,2017,"$12,999.00 ",Brown,LT-LEATHER-CAMERA-BLUETOOTH-HEATED SEATS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"122,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST2HF218763,"301 Weston Road, Toronto, ON, M6N3P1"
Lexus,RX,2017,"$44,800.00 ",Other,"350, NAVI, CAM, HEAT",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"67,913",https://www.carproof.com/order?ref=kijiji&vin=2T2BZMCA6HC056337,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Fiat,500,2012,"$9,800.00 ",Other,"500c CONVERTIBLE, AU",Used,Convertible,Front-wheel drive (FWD),Automatic,na,"37,671",https://www.carproof.com/order?ref=kijiji&vin=3C3CFFER8CT377533,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Honda,CR-V,2019,"$38,758.00 ",Black,EX-L,New,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Malibu,2017,"$19,999.00 ",Grey,LT-NAVIGATION-PANO ROOF-LEATHER-ONLY 44KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"44,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST3HF197275,"301 Weston Road, Toronto, ON, M6N3P1"
Mercedes-Benz,Other,2011,"$26,900.00 ",White,"114K ONLY !! 2500 144"", H-ROOF, CLEAN TITLE, 3.0L",Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,na,"114,465",https://www.carproof.com/order?ref=kijiji&vin=null,"1897 Wilson Avenue, North York, ON, M9M 1A2"
Honda,Civic,2019,"$28,018.00 ",Grey,Sport,New,Sedan,Front-wheel drive (FWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Corvette,2016,"$76,800.00 ",Other,"Z06 CONVERTIBLE, HEA",Used,Convertible,Rear-wheel drive (RWD),Automatic,na,"21,399",https://www.carproof.com/order?ref=kijiji&vin=1G1YN3D6XG5612880,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2007,"$5,300.00 ",Silver,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"154,868",https://www.carproof.com/order?ref=kijiji&vin=null,"Etobicoke, ON M8X 2P3"
